01_009,"Maize, Gbaévè variety, whole kernel, dried, raw (Benin) n=1","Maïs, variété Gbaévè, grain entier, sec, cru (Benin) n=1",01_009,"Maize, Gbaévè variety, whole kernel, dry, raw (Benin), n=1","Maïs, variété Gbaévè, grain entier, sec, cru (Bénin), n=1"
01_010,"Maize, DMR-ESR-W variety, whole kernel, dried, raw (Benin) n=1","Maïs, variété DMR-ESR-W, grain entier, sec, cru (Benin) n=1",01_010,"Maize, DMR-ESR-W variety, whole kernel, dry, raw (Benin), n=1","Maïs, variété DMR-ESR-W, grain entier, sec, cru (Bénin), n=1"
01_011,"Maize, POZA - RICA 7843 - SR variety, whole kernel, dried, raw (Benin) n=1","Maïs, variété POZA - RICA 7843 - SR, grain entier, sec, cru (Benin) n=1",01_011,"Maize, POZA - RICA 7843 - SR  variety, whole kernel, dry, raw (Benin), n=1","Maïs, variété POZA - RICA 7843 - SR, grain entier, sec, cru (Bénin), n=1"
01_012,"Maize, TZPB-SR variety, whole kernel, dried, raw (Benin) n=1","Maïs, variété TZPB-SR, grain entier, sec, cru (Benin) n=1",01_012,"Maize, TZPB-SR variety, whole kernel, dry, raw (Benin), n=1","Maïs, variété TZPB-SR, grain entier, sec, cru (Bénin), n=1"
01_013,"Maize, Gnonli variety, whole kernel, dried, raw (Benin) n=1","Maïs, variété Gnonli, grain entier, sec, cru (Benin) n=1",01_013,"Maize, Gnonli variety, whole kernel, dry, raw (Benin), n=1","Maïs, variété Gnonli, grain entier, sec, cru (Bénin), n=1"
01_014,"Maize, combined varieties, whole kernel, dried, raw (Benin)","Maïs, variétés combinées, grain entier, sec, cru (Benin)",01_014,"Maize, combined varieties, whole kernel, dry, raw (Benin)","Maïs, mélange de variétés, grain entier, sec, cru (Bénin)"
01_062,"Maize, combined varieties, whole kernel, boiled* (without salt)","Maïs, variétés combinées, grain entier, bouilli* (sans sel) (Benin)",01_062,"Maize, combined varieties, whole kernel (Benin), boiled* (without salt), drained","Maïs, mélange de variétés, grain entier (Bénin), bouilli* (sans sel), égoutté"
01_015,"Millet, whole grain, raw","Mil, grain entier, cru",01_017,"Pearl millet, whole grains (with bran), raw","Mil à chandelle, grain entier (avec son), cru"
01_016,"Millet, whole grain, boiled*(without salt)","Mil, grain entier, bouilli* (sans sel)",01_033,"Pearl millet, whole grains, boiled* (without salt), drained","Mil à chandelle, grain entier, bouilli* (sans sel), égoutté"
01_017,"Pearl millet, whole grain, raw (with bran)","Mil chandelle, grain entier, cru (avec son)",01_017,"Pearl millet, whole grains (with bran), raw","Mil à chandelle, grain entier (avec son), cru"
01_033,"Pearl millet, whole grain, boiled* (without salt)","Mil chandelle, grain entier, bouilli* (sans sel)",01_033,"Pearl millet, whole grains, boiled* (without salt), drained","Mil à chandelle, grain entier, bouilli* (sans sel), égoutté"
01_063,"Pearl millet, flour (without bran)","Mil chandelle, farine (sans son)",01_063,"Pearl millet, flour (bran removed)","Mil à chandelle, farine (sans son)"
01_018,"Pearl millet, variety ikmv 8201, whole grain, raw (Burkina Faso) n=1","Mil chandelle, variété ikmv 8201, grain entier, cru (Burkina Faso) n=1",01_018,"Pearl millet, IKMV 8201 variety, whole grains, raw (Burkina Faso), n=1","Mil à chandelle, variété IKMV 8201, grain entier, cru (Burkina Faso), n=1"
01_019,"Pearl millet, variety ikmp 1, whole grain, raw (Burkina Faso) n=1","Mil chandelle, variété ikmp 1, grain entier, cru (Burkina Faso) n=1",01_019,"Pearl millet, IKMP 1 variety, whole grains, raw (Burkina Faso), n=1","Mil à chandelle, variété IKMP 1, grain entier, cru (Burkina Faso), n=1"
01_020,"Pearl millet, variety ikmp 2, whole grain, raw (Burkina Faso) n=1","Mil chandelle, variété ikmp 2, grain entier, cru (Burkina Faso) n=1",01_020,"Pearl millet, IKMP 2 variety, whole grains, raw (Burkina Faso), n=1","Mil à chandelle, variété IKMP 2, grain entier, cru (Burkina Faso), n=1"
01_021,"Pearl millet, variety ikmp 3, whole grain, raw (Burkina Faso) n=1","Mil chandelle, variété ikmp 3, grain entier, cru (Burkina Faso) n=1",01_021,"Pearl millet, IKMP 3 variety, whole grains, raw (Burkina Faso), n=1","Mil à chandelle, variété IKMP 3, grain entier, cru (Burkina Faso), n=1"
01_022,"Pearl millet, variety ikmp 4, whole grain, raw (Burkina Faso) n=1","Mil chandelle, variété ikmp 4, grain entier, cru (Burkina Faso) n=1",01_022,"Pearl millet, IKMP 4 variety, whole grains, raw (Burkina Faso), n=1","Mil à chandelle, variété IKMP 4, grain entier, cru (Burkina Faso), n=1"
01_023,"Pearl millet, variety ikmp 5, whole grain, raw (Burkina Faso) n=1","Mil chandelle, variété ikmp 5, grain entier, cru (Burkina Faso) n=1",01_023,"Pearl millet, IKMP 5 variety, whole grains, raw (Burkina Faso), n=1","Mil à chandelle, variété IKMP 5, grain entier, cru (Burkina Faso), n=1"
01_024,"Pearl millet, variety ikmp 6, whole grain, raw (Burkina Faso) n=1","Mil chandelle, variété ikmp 6, grain entier, cru (Burkina Faso) n=1",01_024,"Pearl millet, IKMP 6 variety, whole grains, raw (Burkina Faso), n=1","Mil à chandelle, variété IKMP 6, grain entier, cru (Burkina Faso), n=1"
01_025,"Pearl millet, variety ikmp 7, whole grain, raw (Burkina Faso) n=1","Mil chandelle, variété ikmp 7, grain entier, cru (Burkina Faso) n=1",01_025,"Pearl millet, IKMP 7 variety, whole grains, raw (Burkina Faso), n=1","Mil à chandelle, variété IKMP 7, grain entier, cru (Burkina Faso), n=1"
01_026,"Pearl millet, variety ikmp 8, whole grain, raw (Burkina Faso) n=1","Mil chandelle, variété ikmp 8, grain entier, cru (Burkina Faso) n=1",01_026,"Pearl millet, IKMP 8 variety, whole grains, raw (Burkina Faso), n=1","Mil à chandelle, variété IKMP 8, grain entier, cru (Burkina Faso), n=1"
