Component in English,Component in French,INFOODS tagname,Unit,Denominator,Significant figures,Maximal decimal places,Datasheet,Analytical/determination method/definition in English,Analytical/determination method/definition in French
Vitamin B6,Vitamine B6,VITB6C,mg,/100g EP,2,2,03-06,"HPLC, microbiological","CLPH, microbiologique"
Folic acid (synthetic),Acide folique (synthétique),FOLAC,mcg,/100g EP,2,0,"05, 06",From literature sources,De sources documentaires
"Folate, naturally occurring (food folate)","Folate, naturel (folate alimentaire)",FOLFD,mcg,/100g EP,2,0,"05, 06",Microbiological,Microbiologique
"Folate, total or [folate, sum of vitamers] (vitamin B9)","Folate, total ou [somme des vitamères] (vitamine B9) ",FOL or [FOLSUM],mcg,/100g EP,2,0,03-06,Microbiological or [HPLC],Microbiologique ou [CLPH]
"Folate, dietary folate equivalents (DFE)","Folate, équivalent folates alimentaires (DFE)",FOLDFE,mcg,/100g EP,2,0,03-06,Dietary folate equivalents (mcg/100 g EP) = naturally occurring food folates (mcg/100 g EP) + 1.7 × synthetic folic acid (mcg/100 g EP),"Équivalent folates alimentaires (mcg/100 g PC) = folates alimentaires naturels (mcg/100 g PC) + 1,7 x acide folique synthétique (mcg/100 g PC)"
Vitamin B12,Vitamine B12,VITB12,mcg,/100g EP,2,2,03-06,"HPLC, microbiological","CLPH, microbiologique"
Vitamin C,Vitamine C,VITC,mg,/100g EP,3,0,03-06,Various methods (see User Guide section 5 Components),Méthodes diverses (voir Guide d’utilisation section 5 Composants) 
Cholesterol,Cholestérol,CHOLE,mg,/100g EP,3,0,03-06,HPLC,CLPH
Fatty acid conversion factor,Facteur de conversion de acides gras,XFA,-,-,3,3,"05, 06",From literature sources (see User Guide section 5 Components),De sources documentaires (voir Guide d’utilisation section 5 Composants) 
"Fatty acids, total saturated",Acides gras saturés totaux,FASAT,g,/100g EP,3,2,03-06,"Fatty acids, total saturated (g/100 g EP) = fatty acids, total saturated (% of total FA) × fatty acid conversion factor × fat, total (g/100 g EP) / 100",Acides gras saturés totaux (g/100 g PC) = acides gras totaux saturés (% d´AG totaux) x facteur de conversion des acides gras x lipides totaux (g/100 g PC) / 100 
"Fatty acids, total monounsaturated",Acides gras monoinsaturés totaux,FAMS,g,/100g EP,3,2,03-06,"Fatty acids, total monounsaturated (g/100 g EP) = fatty acids, total monounsaturated (% of total FA) × fatty acid conversion factor × fat, total (g/100 g EP) / 100",Acides gras monoinsaturés totaux (g/100 g PC) = acides gras totaux monoinsaturés (% d´AG totaux) x facteur de conversion des acides gras x lipides totaux (g/100 g PC) / 100
"Fatty acids, total polyunsaturated",Acides gras polyinsaturés totaux,FAPU,g,/100g EP,3,2,03-06,"Fatty acids, total polyunsaturated (g/100 g EP) = fatty acids, total polyunsaturated (% of total FA) × fatty acid conversion factor × fat, total (g/100 g EP) / 100",Acides gras polyinsaturés totaux (g/100 g PC) = acides gras totaux polyinsaturés (% d´AG totaux) x facteur de conversion des acides gras x lipides totaux (g/100 g PC) / 100
Linoleic acid,Acide linoléique,F18D2CN6,g,/100g EP,3,2,03-06,"Linoleic acid (g/100 g EP) = linoleic acid (% of polyunsaturated FA) × fatty acids, total polyunsaturated (g/100 g EP) / 100",Acide linolénique (g/100 g PC) = acide linoléique (% d´AG polyinsaturés) x acides gras totaux polyinsaturés (g/100 g PC) / 100
Alpha-linolenic acid,Acide alpha-linolénique,F18D3CN3,g,/100g EP,3,2,03-06,"Alpha-linolenic acid (g/100 g EP) = alpha-linolenic acid (% of polyunsaturated FA) × fatty acids, total polyunsaturated (g/100 g EP) / 100",Acide alpha-linolénique (g/100 g PC) = acide alpha-linolénique (% d´AG polyinsaturés) x acides gras totaux polyinsaturés (g/100 g PC) / 100
"Phytate, total or [phytate, determined by direct precipitation] or [phytate, determined by indirect precipitation]","Phytate, total ou [phytate, déterminé par précipitation directe] ou [phytate, déterminé par précipitation indirecte]",PHYTCPP or [PHYTCPPD] or [PHYTCPPI],mg,/100g EP,3,0,03-06,Calculated from phytate phosphorus by anion exchange method (AOAC 986.11) or [determined by direct precipitation] or [determined by indirect precipitation],Calculé à partir du phosphore de phytate par la méthode d’échange d’anions (AOAC 986.11) ou [déterminé par précipitation directe] ou [déterminé par précipitation indirecte]
Inositol triphosphate (IP3),Inositol triphosphate (IP3),IP3,mg,/100g EP,3,0,"05, 06",HPLC,CLPH
Inositol tetraphosphate (IP4),Inositol tétraphosphate (IP4),IP4,mg,/100g EP,3,0,"05, 06",HPLC,CLPH
Inositol pentaphosphate (IP5),Inositol pentaphosphate (IP5),IP5,mg,/100g EP,3,0,"05, 06",HPLC,CLPH
Inositol hexaphosphate (IP6),Inositol hexaphosphate (IP6),IP6,mg,/100g EP,3,0,"05, 06",HPLC,CLPH
Conversion factor for calculating total protein from total nitrogen,Facteur de conversion de l’azote total en protéines totales,XN,-,-,3,2,"05, 06",From literature sources (see User Guide section 5 Components),De sources documentaires (voir Guide d’utilisation section 5 Composants) 
