Code,Food name in English,Food name in French,BiblioID/Source,Scientific name,FoodEx2 Code,FoodEx2 Description,Exact Match (Yes/No),Comments
01_127,"Fonio, decorticated grains (bran removed), washed (mid wet), boiled* (without salt), drained","Fonio, grains décortiqués (sans son), lavé (humide), bouilli* (sans sel), égoutté",calc. from / de 01_078,Digitaria exilis,A001Z#F28.A07GL$F28.A07LC$F28.A07JG$F10.A0CQE,"White fonio grain, PROCESS = Boiling, PROCESS = Removal of external layer, PROCESS = Washing, QUALITATIVE-INFO = Without added salt",Yes,Variety missing 
01_001,"Fonio, white, whole grains, raw","Fonio, blanc, grains entiers, cru","3B(Fonio, whole seed, raw / Fonio grain entier), FAO(3), IN17(A010; A003; A016; A017), KEN18(001025), US28(20031), PH023, 01_002",Digitaria exilis,A001Z#F28.A07HS$F10.A06HR,"White fonio grain, PROCESS = Raw, no heat treatment, QUALITATIVE-INFO = Integral /not refined",Yes,Variety missing 
01_125,"Fonio, white, whole grains, boiled* (as part of a recipe)","Fonio, blanc, grains entiers, bouilli* (ingrédient de recette)",calc. from / de 01_001,Digitaria exilis,A001Z#F28.A07GL$F10.A06HR,"White fonio grain, PROCESS = Boiling, QUALITATIVE-INFO = Integral /not refined",Yes,Variety missing 
01_003,"Fonio, white, whole grains, boiled* (without salt), drained","Fonio, blanc, grains entiers, bouilli* (sans sel), égoutté",calc. from / de 01_001,Digitaria exilis,A001Z#F28.A07GL$F28.A07KE$F10.A06HR,"White fonio grain, PROCESS = Boiling, PROCESS = Subtraction of water, QUALITATIVE-INFO = Integral /not refined",Yes,Variety missing 
01_176,"Fura saamdin (Burkina Faso)*: fermented pearl millet porridge with milk, water and sugar","Fura saamdin (Burkina Faso)*: bouillie de mil à chandelle fermentée avec lait, eau et sucre",calc. from recipe / de recette,,-,-,-,Variety missing 
01_174,Gappal (Burkina Faso)*: pearl millet porridge with milk and sugar,Gappal (Burkina Faso)*: bouillie de mil à chandelle avec lait et sucre,calc. from recipe / de recette,,-,-,-,Variety missing 
01_180,"Gnon (Burkina Faso)*: steamed balls of cowpea leaves with groundnut flour, potash and pearl millet","Gnon (Burkina Faso)*: boules de feuilles de niébé cuites à la vapeur, avec farine d’arachide, potasse et mil à chandelle",calc. from recipe / de recette,,-,-,-,Variety missing 
01_077,"Instant noodles (Indomie), made from wheat flour, previously fried and dried, without flavouring, unprepared","Nouilles instantanées (Indomie), de farine de blé, préalablement frites et séchées, sans aromatisants, non préparées","AU14(02A10437; 02A10358), NG1061, NG1178, US28(06583)",,A007R#F28.A07GR$F28.A07KG$F28.A07HS$F04.A003X$F20.A0F2X,"Asian-style noodles other than glass noodles, PROCESS = Frying, PROCESS = Drying (dehydration), PROCESS = Raw, no heat treatment, INGREDIENT = Wheat flour, PART-CONSUMED-ANALYSED = W/o surrounding medium",Yes,Variety missing 
01_103,"Instant noodles (Indomie), made from wheat flour, previously fried and dried, without flavouring, boiled and drained*","Nouilles instantanées (Indomie), de farine de blé, préalablement frites et séchées, sans aromatisants, bouillies et égouttées*",calc. from / de 01_077,,A007R#F28.A07GR$F28.A07KG$F28.A07GL$F04.A003X,"Asian-style noodles other than glass noodles, PROCESS = Frying, PROCESS = Drying (dehydration), PROCESS = Boiling, INGREDIENT = Wheat flour",Yes,
01_164,Jollof fonio (Burkina Faso)*: fonio with fish and vegetables,Fonio Jollof (Burkina Faso)*: fonio avec poisson et légumes,calc. from recipe / de recette,,-,-,-,
01_156,Jollof macaroni (Burkina Faso)*: macaroni in tomato sauce with mutton,Macaroni Jollof (Burkina Faso)*: macaroni sauce tomate avec mouton,calc. from recipe / de recette,,-,-,-,
01_157,Jollof spaghetti (Burkina Faso)*: spaghetti in vegetable sauce,Spaghetti Jollof (Burkina Faso)*: spaghetti sauce légumes,calc. from recipe / de recette,,-,-,-,
01_165,Kaman péêlég sagabo (Burkina Faso)*: stiff porridge from white degermed maize flour,Kaman péêlég sagabo (Burkina Faso)*: bouillie épaisse de farine de maïs blanc dégermé,calc. from recipe / de recette,,-,-,-,
01_167,Ki béinré (northern Burkina Faso)*: pearl millet porridge with water and sugar,Ki béinré (nord du Burkina Faso)*: bouillie de mil à chandelle avec eau et sucre,calc. from recipe / de recette,,-,-,-,
01_171,Ki saagbo né zièm (Burkina Faso)*: tô (porridge) from pearl millet and potash,Ki saagbo né zièm (Burkina Faso)*: tô (bouillie) de mil à chandelle et potasse,calc. from recipe / de recette,,-,-,-,
01_181,"Kiou gonré (Burkina Faso)*: steamed balls of fonio, cowpea leaves, groundnut flour and potash","Kiou gonré (Burkina Faso)*: boules de fornio cuites à la vapeur, feuilles de niébé, farine d´arachide et potasse",calc. from recipe / de recette,,-,-,-,
01_170,Kiou saagbo né zièm (Burkina Faso)*: tô (porridge) from fonio with potash and maize flour,Kiou saagbo né zièm (Burkina Faso)*: tô (bouillie) de fonio avec potasse et farine de maïs,calc. from recipe / de recette,,-,-,-,"White type missing, it was added as qualitative info but not as a different variety"
01_178,Kôrôkôrô-dôrô (Burkina Faso)*: tô (porridge) from white sorghum and maize flour,Kôrôkôrô-dôrô (Burkina Faso)*: tô (bouillie) de sorgho blanc et farine de maïs,calc. from recipe / de recette,,-,-,-,"Red type missing, it was added as qualitative info"
01_052,"Macaroni, dry, unfortified","Macaroni, séché, non enrichi","AU14(02A10358), UK7(11-716), US28(20120)",,A007L#F10.A0F6D,"Dried pasta, QUALITATIVE-INFO = Not fortified",No,
01_053,"Macaroni, boiled* (without salt), drained","Macaroni, bouilli* (sans sel), égoutté",calc. from / de 01_052,,A007L#F28.A07GL$F10.A0CQE,"Dried pasta, PROCESS = Boiling, QUALITATIVE-INFO = Without added salt",Yes,
01_099,"Maize dough, fermented (kenkey), from whole white maize with salt added, cooked","Maïs, pâte, fermentée (kenkey) de maïs blanc complet, salée, cuite","1P(1), 2P(17; 18; 19; 20; 21), GH1068, GH2000, PH081, 01_098",Zea mays,A009P#F28.A0BA1$F28.A0CQZ$F04.A002Q$F04.A042P$F10.A06HR$F10.A0F2R,"Miscellaneous doughs, PROCESS = Cooking and similar thermal preparation processes, PROCESS = Fermentation, INGREDIENT = Maize flour, INGREDIENT = Salt, QUALITATIVE-INFO = Integral /not refined, QUALITATIVE-INFO = White",Yes,
01_098,"Maize dough, fermented (tô), from decorticated white maize only, cooked","Maïs, pâte, fermentée (tô), pure, de maïs blanc décortiqué, cuite","BF1023, GH2000",Zea mays,A009P#F28.A0BA1$F28.A0CQZ$F04.A002Q$F10.A0F2R,"Miscellaneous doughs, PROCESS = Cooking and similar thermal preparation processes, PROCESS = Fermentation, INGREDIENT = Maize flour, QUALITATIVE-INFO = White",Yes,
01_100,"Maize porridge, fermented (ogi), from decorticated white maize only, cooked","Maïs, bouillie, fermentée (ogi), pure, de maïs blanc décortiqué, cuite","1V, 10V, GH2000, NG1191, 01_098",Zea mays,A0F0V#F28.A07LC$F28.A0BA1$F04.A002Q$F10.A0F2R,"Porridge (ready to eat), PROCESS = Removal of external layer, PROCESS = Cooking and similar thermal preparation processes, INGREDIENT = Maize flour, QUALITATIVE-INFO = White",No,
01_008,"Maize, Gougba variety, whole kernel, dry, raw (Benin), n=1","Maïs, variété Gougba, grain entier, sec, cru (Bénin), n=1","5E, 01_004",Zea mays ,A000T#F28.A07HS$F28.A07KG$F10.A06HR,"Maize grain, PROCESS = Raw, no heat treatment, PROCESS = Drying (dehydration), QUALITATIVE-INFO = Integral /not refined",No,
01_009,"Maize, Gbaévè variety, whole kernel, dry, raw (Benin), n=1","Maïs, variété Gbaévè, grain entier, sec, cru (Bénin), n=1","5E, 01_004",Zea mays ,A000T#F28.A07HS$F28.A07KG$F10.A06HR,"Maize grain, PROCESS = Raw, no heat treatment, PROCESS = Drying (dehydration), QUALITATIVE-INFO = Integral /not refined",No,
01_010,"Maize, DMR-ESR-W variety, whole kernel, dry, raw (Benin), n=1","Maïs, variété DMR-ESR-W, grain entier, sec, cru (Bénin), n=1","5E, 01_004",Zea mays ,A000T#F28.A07HS$F28.A07KG$F10.A06HR,"Maize grain, PROCESS = Raw, no heat treatment, PROCESS = Drying (dehydration), QUALITATIVE-INFO = Integral /not refined",No,
