Code,Food name in English,Food name in French,BiblioID/Source,Scientific name,FoodEx2 Code,FoodEx2 Description,Exact Match (Yes/No),Comments
01_143,"Porridge, tô, from wholegrain white maize meal* (without salt)","Bouillie, tô, de farine de maïs blanc complète* (sans sel)",calc. from / de 01_057,Zea mays,A0F0V#F04.A002P$F10.A0CQE$F10.A0F2R$F10.A06HR,"Porridge (ready to eat), INGREDIENT = Maize meal, QUALITATIVE-INFO = Without added salt, QUALITATIVE-INFO = White, QUALITATIVE-INFO = Integral /not refined",No,"White type missing, it was added as qualitative info but not as a different variety"
01_151,"Porridge, tô, from wholegrain yellow maize meal* (without salt)","Bouillie, tô, de farine de maïs jaune complète* (sans sel)",calc. from / de 01_054,Zea mays,A0F0V#F04.A002P$F10.A0CQE$F10.A06HR$F10.A0F5H,"Porridge (ready to eat), INGREDIENT = Maize meal, QUALITATIVE-INFO = Without added salt, QUALITATIVE-INFO = Integral /not refined, QUALITATIVE-INFO = Yellow",No,
01_163,"Rice cakes, fried in unfortified vegetable oil*","Galettes de riz, frites dans l’huile végétale non enrichie*",calc. from recipe / de recette,,-,-,-,
01_079,"Rice flour, white","Riz, farine, blanche","AU14(02A20106), US28(20061)",Oryza sativa,A003F#F10.A0F2R,"Rice flour, QUALITATIVE-INFO = White",Yes,"White maize type missing, it was added as qualitative info but not as a different variety"
01_162,Rice with fish and vegetable curry (Burkina Faso)*,Riz au curry avec poisson et légumes (Burkina Faso)*,calc. from recipe / de recette,,-,-,-,"White maize type missing, it was added as qualitative info but not as a different variety"
01_034,"Rice, brown, raw","Riz, brun, cru","11E(Rice, brown, husked / Riz, brun ou décortiqué), IN17(A013), r008bio, US28(20040; 20036)",Oryza sativa,A001E#F28.A07HS,"Rice grain, brown, PROCESS = Raw, no heat treatment",Yes,"White maize type missing, it was added as qualitative info but not as a different variety"
01_152,"Rice, brown, boiled* (as part of a recipe)","Riz, brun, bouilli* (ingrédient de recette)",calc. from / de 01_034,Oryza sativa,A001E#F28.A07GL,"Rice grain, brown, PROCESS = Boiling",Yes,"White maize type (it was added as qualitative info but not as a different variety) missing, flour type (special) missing"
01_035,"Rice, brown, boiled* (without salt), drained","Riz, brun, bouilli* (sans sel), égoutté",calc. from / de 01_034,Oryza sativa,A001E#F10.A0CQE,"Rice grain, brown, QUALITATIVE-INFO = Without added salt",Yes,"White maize type (it was added as qualitative info but not as a different variety) missing, flour type (special) missing"
01_065,"Rice, red native, hulled, raw","Riz, rouge, indigène, décortiqué, cru","FAO(117), UK7(11-876)",Oryza glaberrima,A0CGL#F28.A07LC$F28.A07HS$F10.A0F2S,"African rice grain, PROCESS = Removal of external layer, PROCESS = Raw, no heat treatment, QUALITATIVE-INFO = Red",No,"White maize type (it was added as qualitative info but not as a different variety) missing, flour type (special) missing"
01_136,"Rice, red native, hulled, boiled* (as part of a recipe)","Riz, rouge, indigène, décortiqué, bouilli* (ingrédient de recette)",calc. from / de 01_065,Oryza glaberrima,A0CGL#F28.A07LC$F28.A07GL$F10.A0F2S,"African rice grain, PROCESS = Removal of external layer, PROCESS = Boiling, QUALITATIVE-INFO = Red",No,"White maize type (it was added as qualitative info but not as a different variety) missing, flour type (special) missing"
01_066,"Rice, red native, hulled, boiled* (without salt), drained","Riz, rouge, indigène, décortiqué, bouilli* (sans sel), égoutté",calc. from / de 01_065,Oryza glaberrima,A0CGL#F28.A07LC$F28.A07GL$F10.A0F2S$F10.A0CQE,"African rice grain, PROCESS = Removal of external layer, PROCESS = Boiling, QUALITATIVE-INFO = Red, QUALITATIVE-INFO = Without added salt",No,"White maize type missing, it was added as qualitative info but not as a different variety"
01_067,"Rice, red native, milled, raw","Riz, rouge, indigène, blanchi, cru","FAO(119), IN17(A015), US28(20450; 20452; 20444)",Oryza glaberrima,A0CGL#F28.A07LC$F28.A07HS$F10.A0F2S,"African rice grain, PROCESS = Removal of external layer, PROCESS = Raw, no heat treatment, QUALITATIVE-INFO = Red",No,"Yellow maize type missing, it was added as qualitative info"
01_137,"Rice, red native, milled, boiled* (as part of a recipe)","Riz, rouge, indigène, blanchi, bouilli* (ingrédient de recette)",calc. from / de 01_067,Oryza glaberrima,A0CGL#F28.A07LC$F28.A07GL$F10.A0F2S,"African rice grain, PROCESS = Removal of external layer, PROCESS = Boiling, QUALITATIVE-INFO = Red",No,
01_068,"Rice, red native, milled, boiled* (without salt), drained","Riz, rouge, indigène, blanchi, bouilli* (sans sel), égoutté",calc. from / de 01_067,Oryza glaberrima,A0CGL#F28.A07LC$F28.A07GL$F10.A0F2S,"African rice grain, PROCESS = Removal of external layer, PROCESS = Boiling, QUALITATIVE-INFO = Red",No,
01_036,"Rice, white, polished, raw","Riz, blanc, poli, cru","1M(372), 12B(003), FAO(111), GH2000, IN17(A015), SGS, US28(20450; 20452; 20444)",Oryza sativa,A003D,"Rice grain, polished",Yes,"White maize type (it was added as qualitative info but not as a different variety) missing, flour type (special) missing"
01_134,"Rice, white, polished, boiled* (as part of a recipe)","Riz, blanc, poli, bouilli* (ingrédient de recette)",calc. from / de 01_036,Oryza sativa,A003D#F28.A07GL,"Rice grain, polished, PROCESS = Boiling",Yes,"Yellow maize type missing, it was added as qualitative info"
01_069,"Rice, white, polished, boiled* (without salt), drained","Riz, blanc, poli, bouilli* (sans sel), égoutté",calc. from / de 01_036,Oryza sativa,A003D#F28.A07GL,"Rice grain, polished, PROCESS = Boiling",Yes,-
01_037,"Rice, white, raw","Riz, blanc, cru","1P(13), 2P(29), 12B(002), FAO(110), IN17(A015; A013), US28(20444; 20036), 01_036, 01_034",Oryza sativa,A003D,"Rice grain, polished",Yes,-
01_135,"Rice, white, boiled* (as part of a recipe)","Riz, blanc, bouilli* (ingrédient de recette)",calc. from / de 01_037,Oryza sativa,A003D#F28.A07GL,"Rice grain, polished, PROCESS = Boiling",Yes,-
01_038,"Rice, white, boiled* (without salt), drained","Riz, blanc, bouilli* (sans sel), égoutté",calc. from / de 01_037,Oryza sativa,A003D#F28.A07GL$F28.A07KE,"Rice grain, polished, PROCESS = Boiling, PROCESS = Subtraction of water",Yes,-
01_072,"Sorghum, flour, degermed","Sorgho, farine, dégermé","1M(374), IN17(A005), PH111, tu4AnFooD, US28(20650), 01_039",Sorghum bicolor,A003T#F28.A0CQY,"Sorghum flour, PROCESS = Degermination",Yes,-
01_039,"Sorghum, whole grains, raw","Sorgho, grains entiers, cru","1E, 1P(12), 2E, 2P(1), 3B(Sorghum, whole seed / Sorgho graine entier), 4E(Sorghum, whole seed, raw / Sorgho (grain entier)), 12B(Sorghum, whole, white, uncooked / Sorgho, grain entier, variété blanch; Sorghum, whole, red, uncooked / Sorgho, grain entier, variété rouge), 22N, 23N, CTA(36), FAO(126; 127; 128; 129; 130; 143; 145; 148; 149; 150; 151; 152; 155; 156; 157; 158), IN17(A005), MA1018, PH111, SGS, US28(20648)",Sorghum bicolor,A001L#F28.A07HS$F10.A06HR,"Sorghum grain, PROCESS = Raw, no heat treatment, QUALITATIVE-INFO = Integral /not refined",Yes,-
01_138,"Sorghum, whole grains, boiled* (as part of a recipe)","Sorgho, grains entiers, bouilli* (ingrédient de recette)",calc. from / de 01_039,Sorghum bicolor,A001L#F28.A07GL$F10.A06HR,"Sorghum grain, PROCESS = Boiling, QUALITATIVE-INFO = Integral /not refined",Yes,-
01_042,"Sorghum, whole grains, boiled* (without salt), drained","Sorgho, grains entiers, bouilli* (sans sel), égoutté",calc. from / de 01_039,Sorghum bicolor,A001L#F28.A07GL$F10.A06HR$F10.A0CQE,"Sorghum grain, PROCESS = Boiling, QUALITATIVE-INFO = Integral /not refined, QUALITATIVE-INFO = Without added salt",Yes,-
01_041,"Sorghum, whole grains, red, raw","Sorgho, grains entiers, rouge, cru","2E, 12B(Sorghum, whole, red, uncooked / Sorgho, grain, entier, variété rouge), FAO(127), IN17(A005), US28(20648), 01_039",Sorghum bicolour,A001L#F28.A07HS$F10.A06HR$F10.A0F2S,"Sorghum grain, PROCESS = Raw, no heat treatment, QUALITATIVE-INFO = Integral /not refined, QUALITATIVE-INFO = Red",No,-
01_139,"Sorghum, whole grains, red, boiled* (as part of a recipe)","Sorgho, grains entiers, rouge, bouilli* (ingrédient de recette)",calc. from / de 01_041,Sorghum bicolour,A001L#F28.A07GL$F10.A06HR$F10.A0F2S,"Sorghum grain, PROCESS = Boiling, QUALITATIVE-INFO = Integral /not refined, QUALITATIVE-INFO = Red",No,-
01_070,"Sorghum, whole grains, red, boiled* (without salt), drained","Sorgho, grains entiers, rouge, bouilli* (sans sel), égoutté",calc. from / de 01_041,Sorghum bicolour,A001L#F28.A07GL$F10.A06HR$F10.A0CQE$F10.A0F2S,"Sorghum grain, PROCESS = Boiling, QUALITATIVE-INFO = Integral /not refined, QUALITATIVE-INFO = Without added salt, QUALITATIVE-INFO = Red",No,-
01_040,"Sorghum, whole grains, white, raw","Sorgho, grains entiers, blanc, cru","2E, 12B(Sorghum, whole, white, uncooked / Sorgho, grain, entier, variété blanch), FAO(128), IN17(A005), PH111, SGS, US28(20648)",Sorghum bicolour,A001L#F28.A07HS$F10.A06HR$F10.A0F2R,"Sorghum grain, PROCESS = Raw, no heat treatment, QUALITATIVE-INFO = Integral /not refined, QUALITATIVE-INFO = White",No,-
01_140,"Sorghum, whole grains, white, boiled* (as part of a recipe)","Sorgho, grains entiers, blanc, bouilli* (ingrédient de recette)",calc. from / de 01_040,Sorghum bicolour,A001L#F28.A07GL$F10.A06HR$F10.A0F2R,"Sorghum grain, PROCESS = Boiling, QUALITATIVE-INFO = Integral /not refined, QUALITATIVE-INFO = White",No,-
01_071,"Sorghum, whole grains, white, boiled* (without salt), drained","Sorgho, grains entiers, blanc, bouilli* (sans sel), égoutté",calc. from / de 01_040,Sorghum bicolour,A001L#F28.A07GL$F10.A06HR$F10.A0CQE$F10.A0F2R,"Sorghum grain, PROCESS = Boiling, QUALITATIVE-INFO = Integral /not refined, QUALITATIVE-INFO = Without added salt, QUALITATIVE-INFO = White",No,-
01_184,"Teff, whole grains, raw","Teff, grains entiers, cru","KEN18(001041), US28(20142)",Eragrostis tef,A000A#F28.A07HS$F10.A06HR,"Teff grain, PROCESS = Raw, no heat treatment, QUALITATIVE-INFO = Integral /not refined",Yes,-
01_186,"Teff, whole grains, boiled* (as part of a recipe)","Teff, grains entiers, bouilli* (ingrédient de recette)",calc. from / de 01_084,Eragrostis tef,A000A#F28.A07GL$F10.A06HR,"Teff grain, PROCESS = Boiling, QUALITATIVE-INFO = Integral /not refined",Yes,-
01_185,"Teff, whole grains, boiled* (without salt), drained","Teff, grains entiers, bouilli* (sans sel), égoutté",calc. from / de 01_184,Eragrostis tef,A000A#F28.A07GL$F10.A0CQE$F10.A06HR,"Teff grain, PROCESS = Boiling, QUALITATIVE-INFO = Without added salt, QUALITATIVE-INFO = Integral /not refined",Yes,-
01_183,"Weet-Bix (breakfast cereal), unfortified","Weet-Bix (céréale de petit déjeuner), non enrichi",AU14(02D10351),,A00EF#F10.A0F6D,"Processed wheat-based flakes, QUALITATIVE-INFO = Not fortified",No,-
01_169,Wèsln né souma (Burkina Faso)*: couscous from yellow maize with bambara groundnuts,Wèsln né souma (Burkina Faso)*: couscous de maïs jaune avec pois bambara,calc. from recipe / de recette,,-,-,-,-
01_043,"Wheat flour, white, unfortified","Farine de blé, blanche, non enrichie","1M(375), 2P(34), FAO(173; 174; 175), IN17(A018), K2014, SA1020, SGS",Triticum spp.,A003Y#F10.A0F6D,"Wheat flour white, QUALITATIVE-INFO = Not fortified",Yes,-
01_083,"Wheat flour, white, fortified with iron, zinc, folic acid and vitamins B1, B2, B3, B6, B12 (Benin)","Farine de blé, blanche, enrichie en fer, zinc, acide folique et vitamines B1, B2, B3, B6, B12 (Bénin)","1M(375), 2P(34), FAO(173; 174; 175), FORT20, IN17(A018), K2014, SA1020, SGS",Triticum spp.,A003Y#F09.A0EXD$F09.A0EXQ$F09.A0EXP$F09.A0EXE$F09.A0EXY$F09.A0EXX$F09.A0EXV$F09.A0EXS,"Wheat flour white, FORTIFICATION-AGENT = Iron, FORTIFICATION-AGENT = Vitamin B9   (folic acid, folinic acid), FORTIFICATION-AGENT = Vitamin B12 (cyanocobalamin, hydroxocobalamin, methylcobalamin), FORTIFICATION-AGENT = Zinc, FORTIFICATION-AGENT = Vitamin B1   (thiamine), FORTIFICATION-AGENT = Vitamin B2   (riboflavin), FORTIFICATION-AGENT = Vitamin B3   (niacin, niacinamide), FORTIFICATION-AGENT = Vitamin B6   (pyridoxine, pyridoxamine, pyridoxal)",Yes,-
01_084,"Wheat flour, white, fortified with iron, zinc, folic acid and vitamin B12 (Burkina Faso, Togo)","Farine de blé, blanche, enrichie en fer, zinc, acide folique et vitamine B12 (Burkina Faso, Togo)","1M(375), 2P(34), FAO(173; 174; 175), FORT19, IN17(A018), K2014, SA1020, SGS",Triticum spp.,A003Y#F09.A0EXD$F09.A0EXQ$F09.A0EXP$F09.A0EXE,"Wheat flour white, FORTIFICATION-AGENT = Iron, FORTIFICATION-AGENT = Vitamin B9   (folic acid, folinic acid), FORTIFICATION-AGENT = Vitamin B12 (cyanocobalamin, hydroxocobalamin, methylcobalamin), FORTIFICATION-AGENT = Zinc",Yes,-
01_085,"Wheat flour, white, fortified with iron and folic acid (Cabo Verde)","Farine de blé, blanche, enrichie en fer et acide folique (Cabo Verde)","1M(375), 2P(34), FORT19, FAO(173; 174; 175), IN17(A018), K2014, SA1020, SGS",Triticum spp.,A003Y#F09.A0EXQ$F09.A0EXD,"Wheat flour white, FORTIFICATION-AGENT = Vitamin B9   (folic acid, folinic acid), FORTIFICATION-AGENT = Iron",Yes,-
01_087,"Wheat flour, white, fortified with iron, zinc, folic acid and vitamins A, B1, B2, B3, B12 (Ghana, Sierra Leone)","Farine de blé, blanche, enrichie en fer, zinc, acide folique et vitamines A, B1, B2, B3, B12 (Ghana, Sierra Leone)","1M(375), 2P(34), FAO(173; 174; 175), FORT01, FORT11, FORT13, FORT19, IN17(A018), K2014, SA1020, SGS",Triticum spp.,A003Y#F09.A0EXD$F09.A0EXQ$F09.A0EXP$F09.A0EXE$F09.A0EXZ$F09.A0EXY$F09.A0EXX$F09.A0EXV,"Wheat flour white, FORTIFICATION-AGENT = Iron, FORTIFICATION-AGENT = Vitamin B9   (folic acid, folinic acid), FORTIFICATION-AGENT = Vitamin B12 (cyanocobalamin, hydroxocobalamin, methylcobalamin), FORTIFICATION-AGENT = Zinc, FORTIFICATION-AGENT = Vitamin A     (retinol, carotenoids), FORTIFICATION-AGENT = Vitamin B1   (thiamine), FORTIFICATION-AGENT = Vitamin B2   (riboflavin), FORTIFICATION-AGENT = Vitamin B3   (niacin, niacinamide)",Yes,-
01_090,"Wheat flour, white, fortified with iron, zinc, folic acid and vitamins B1, B2, B3, B12 (Guinea)","Farine de blé, blanche, enrichie en fer, zinc, acide folique et vitamines B1, B2, B3, B12 (Guinée)","1M(375), 2P(34), FAO(173; 174; 175), FORT01, FORT19, IN17(A018), K2014, SA1020, SGS",Triticum spp.,A003Y#F09.A0EXD$F09.A0EXQ$F09.A0EXP$F09.A0EXE$F09.A0EXY$F09.A0EXX$F09.A0EXV,"Wheat flour white, FORTIFICATION-AGENT = Iron, FORTIFICATION-AGENT = Vitamin B9   (folic acid, folinic acid), FORTIFICATION-AGENT = Vitamin B12 (cyanocobalamin, hydroxocobalamin, methylcobalamin), FORTIFICATION-AGENT = Zinc, FORTIFICATION-AGENT = Vitamin B1   (thiamine), FORTIFICATION-AGENT = Vitamin B2   (riboflavin), FORTIFICATION-AGENT = Vitamin B3   (niacin, niacinamide)",Yes,-
01_086,"Wheat flour, white, fortified with iron, zinc, folic acid and vitamins B1, B2, B3, B12 (Côte d'Ivoire, Mali, Niger, Senegal)","Farine de blé, blanche, enrichie en fer, zinc, acide folique et vitamines B1, B2, B3, B12 (Côte d’Ivoire, Mali, Niger, Sénégal)","1M(375), 2P(34), FAO(173; 174; 175), FORT01, FORT13, IN17(A018), K2014, SA1020, SGS",Triticum spp.,A003Y#F09.A0EXD$F09.A0EXQ$F09.A0EXP$F09.A0EXE$F09.A0EXY$F09.A0EXX$F09.A0EXV,"Wheat flour white, FORTIFICATION-AGENT = Iron, FORTIFICATION-AGENT = Vitamin B9   (folic acid, folinic acid), FORTIFICATION-AGENT = Vitamin B12 (cyanocobalamin, hydroxocobalamin, methylcobalamin), FORTIFICATION-AGENT = Zinc, FORTIFICATION-AGENT = Vitamin B1   (thiamine), FORTIFICATION-AGENT = Vitamin B2   (riboflavin), FORTIFICATION-AGENT = Vitamin B3   (niacin, niacinamide)",Yes,
01_088,"Wheat flour, white, fortified with iron, zinc, folic acid and vitamins B1, B2, B3, B12 (Liberia)","Farine de blé, blanche, enrichie en fer, zinc, acide folique et vitamines B1, B2, B3, B12 (Libéria)","1M(375), 2P(34), FAO(173; 174; 175), FORT01, FORT19, IN17(A018), K2014, SA1020, SGS",Triticum spp.,A003Y#F09.A0EXD$F09.A0EXQ$F09.A0EXP$F09.A0EXE$F09.A0EXY$F09.A0EXX$F09.A0EXV,"Wheat flour white, FORTIFICATION-AGENT = Iron, FORTIFICATION-AGENT = Vitamin B9   (folic acid, folinic acid), FORTIFICATION-AGENT = Vitamin B12 (cyanocobalamin, hydroxocobalamin, methylcobalamin), FORTIFICATION-AGENT = Zinc, FORTIFICATION-AGENT = Vitamin B1   (thiamine), FORTIFICATION-AGENT = Vitamin B2   (riboflavin), FORTIFICATION-AGENT = Vitamin B3   (niacin, niacinamide)",Yes,Brand missing
01_089,"Wheat flour, white, fortified with iron and vitamins A, B1, B2, B3 (Nigeria)","Farine de blé, blanche, enrichie en fer, et vitamines A, B1, B2, B3 (Nigéria)","1M(375), 2P(34), FAO(173; 174; 175), FORT16, IN17(A018), K2014, SA1020, SGS",Triticum spp.,A003Y#F09.A0EXD$F09.A0EXZ$F09.A0EXY$F09.A0EXX$F09.A0EXV,"Wheat flour white, FORTIFICATION-AGENT = Iron, FORTIFICATION-AGENT = Vitamin A     (retinol, carotenoids), FORTIFICATION-AGENT = Vitamin B1   (thiamine), FORTIFICATION-AGENT = Vitamin B2   (riboflavin), FORTIFICATION-AGENT = Vitamin B3   (niacin, niacinamide)",Yes,
01_082,"Wheat flour, wholemeal, unfortified","Farine de blé, complète, non enrichie","FAO(171; 172), IN17(A019), NG1125",Triticum spp.,A004A#F10.A0F6D,"Wheat flour, brown, QUALITATIVE-INFO = Not fortified",Yes,
01_073,"Wheat, bran, raw","Blé, son, cru","AU14(02A10355), UK7(11-906), US28(20077)",Triticum spp.,A004P#F28.A07HS,"Wheat bran, PROCESS = Raw, no heat treatment",Yes,
01_074,"Wheat, whole grains, raw","Blé, grains entiers, cru","22N, FAO(168; 169; 170), IN17(A020), SA1020, 1M(5), SGS",Triticum spp.,A001N#F28.A07HS$F10.A06HR,"Common wheat grain, PROCESS = Raw, no heat treatment, QUALITATIVE-INFO = Integral /not refined",Yes,
01_142,"Wheat, whole grains, boiled* (as part of a recipe)","Blé, grains entiers, bouilli* (ingrédient de recette)",calc. from / de 01_074,Triticum spp.,A001N#F28.A07GL$F10.A06HR,"Common wheat grain, PROCESS = Boiling, QUALITATIVE-INFO = Integral /not refined",Yes,
01_141,"Wheat, whole grains, boiled* (without salt), drained","Blé, grains entiers, bouilli* (sans sel), égoutté",calc. from / de 01_074,Triticum spp.,A001N#F28.A07GL$F10.A06HR$F10.A0CQE,"Common wheat grain, PROCESS = Boiling, QUALITATIVE-INFO = Integral /not refined, QUALITATIVE-INFO = Without added salt",Yes,
02_093,Banakou né barâand kanss saagbo (Burkina Faso)*: foutou of cassava and unripe plantain,Banakou né barâand kanss saagbo (Burkina Faso)*: foutou de manioc et banane plantain verte,calc. from recipe / de recette,,-,-,-,Flesh-related color missing. It was added as qualitative info
02_091,Banakou né barâand moomd saagbo (Burkina Faso)*: foutou of cassava and ripe plantain,Banakou né barâand moomd saagbo (Burkina Faso)*: foutou de manioc et banane plantain mûre,calc. from recipe / de recette,,-,-,-,Flesh-related color missing. It was added as qualitative info
02_092,Banakou né kou saagbo (Burkina Faso)*: foutou of yam and cassava,Banakou né kou saagbo (Burkina Faso)*: foutou d’igname et manioc,calc. from recipe / de recette,,-,-,-,Flesh-related color missing. It was added as qualitative info
02_021,"Cassava, sweet, tuber, white flesh, dried","Manioc, doux, tubercule, chair blanche, séché","FAO(224), NG1112, 02_001",Manihot esculenta,A16RD#F27.A00ZZ$F10.A0CQM$F10.A0F2R,"Dried starchy roots and tuber products, SOURCE-COMMODITIES = Cassava roots, QUALITATIVE-INFO = Sweet / mild, QUALITATIVE-INFO = White",No,Flesh-related color missing. It was added as qualitative info
02_041,"Cassava, fermented paste from white cassava flour (wet fufu)","Manioc, pâte fermentée de farine blanche de manioc (foufou humide)","1V, 1P(21), 2P(42), 16V(38), BF1069, NG2014, NG1117, NG1081, PH081",Manihot esculenta,A16RD#F27.A00ZZ$F28.A0CQZ$F10.A0F2R$F03.A06JF,"Dried starchy roots and tuber products, SOURCE-COMMODITIES = Cassava roots, PROCESS = Fermentation, QUALITATIVE-INFO = White, PHYSICAL-STATE = Paste",No,Flesh-related color missing. It was added as qualitative info
02_038,"Cassava, flour, from fermented white cassava (alibo/elubo/lafun)","Manioc, farine, de manioc blanc fermenté (alibo/elubo/lafun)","1E, 3B(Cassava, flour, dried / Farine manioc séchée), 6GH, 16V(39), GH2000, PADONS, tu6BIO, NG1010, tu22AnFooD, tu11AnFooD, 02_001",Manihot esculenta,A16RD#F27.A00ZZ$F28.A0CQZ$F10.A0F2R$F03.A06JD,"Dried starchy roots and tuber products, SOURCE-COMMODITIES = Cassava roots, PROCESS = Fermentation, QUALITATIVE-INFO = White, PHYSICAL-STATE = Powder",No,Flesh-related color missing. It was added as qualitative info
02_040,"Cassava, flour, from fermented white cassava (dry fufu)","Manioc, farine, de manioc blanc fermenté (foufou sec)","GH1064, NG1010, tu22AnFooD, 02_038, 02_041",Manihot esculenta,A16RD#F27.A00ZZ$F28.A0CQZ$F10.A0F2R$F03.A06JD,"Dried starchy roots and tuber products, SOURCE-COMMODITIES = Cassava roots, PROCESS = Fermentation, QUALITATIVE-INFO = White, PHYSICAL-STATE = Powder",No,
02_004,"Cassava, flour, from white cassava","Manioc, farine, de manioc blanc","1P(28), 2P(47), 3B(Cassava, flour, dried / Farine manioc séchée), 3E(Cassava flour / Farine fine de manioc), 11E(Cassava, common, bitter, flour / Manioc amer commun, farine), 12E, 16V(39), GH2000, tu15BIO",Manihot esculenta,A16RD#F27.A00ZZ$F10.A0F2R$F03.A06JD,"Dried starchy roots and tuber products, SOURCE-COMMODITIES = Cassava roots, QUALITATIVE-INFO = White, PHYSICAL-STATE = Powder",No,
02_039,"Cassava, grated, from fermented white cassava, toasted without oil (white gari)","Manioc, rapé, de manioc blanc fermenté, grillé sans huile (gari blanc)","1P(29), 2P(46), 3E(Cassava flour / Gari), 4E(Gari), 11E(Cassava, flour, fermented, dried / Manioc, farine fermentée séchée (gari)), 12B(Gari), 16V(37), GH1066, GH2000, NG1035, NG1163, ph081, NG1010, tu22AnFooD, 02_038",Manihot esculenta,A00ZZ#F28.A07KZ$F28.A07HC$F28.A0CQZ$F10.A0F2R,"Cassava roots, PROCESS = Grating, PROCESS = Toasting / coffee roasting, PROCESS = Fermentation, QUALITATIVE-INFO = White",No,Flesh-related color missing. It was added as qualitative info
02_001,"Cassava, tuber, white flesh, raw","Manioc, tubercule, chair blanche, cru","1P(18), 1T(130), 2P(39), 3B(Cassava, fresh / Manioc fais), 4E(Cassava, bitter variety, raw / Manioc amer, cru), 6GH, 8E, 9B, 11E(Cassava, common bitter, root, raw / Manioc amer, commun, racine, crue), 12B(100), 16V(36), AU14(13A11691), BF1069, CTA(45), IN17(F015), MA1018, NG1081, NG1010, tu6BIO",Manihot esculenta,A00ZZ#F28.A07HS$F10.A0F2R,"Cassava roots, PROCESS = Raw, no heat treatment, QUALITATIVE-INFO = White",No,Flesh-related color missing. It was added as qualitative info
02_051,"Cassava, tuber, white flesh, boiled* (as part of a recipe)","Manioc, tubercule, chair blanche, bouilli* (ingrédient de recette)",calc. from / de 02_001,Manihot esculenta,A00ZZ#F28.A07GL$F10.A0F2R,"Cassava roots, PROCESS = Boiling, QUALITATIVE-INFO = White",No,Flesh-related color missing. It was added as qualitative info
02_003,"Cassava, tuber, white flesh, boiled* (without salt), drained","Manioc, tubercule, chair blanche, bouilli* (sans sel), égoutté",calc. from / de 02_001,Manihot esculenta,A00ZZ#F28.A07GL$F10.A0CQE$F10.A0F2R,"Cassava roots, PROCESS = Boiling, QUALITATIVE-INFO = Without added salt, QUALITATIVE-INFO = White",No,Flesh-related color missing. It was added as qualitative info
02_002,"Cassava, tuber, white flesh, dried","Manioc, tubercule, chair blanche, séché","2P(41), 2E, 5GH, BF1069, FAO(224), tu14AnFooD, tu22AnFooD, tu15BIO, 02_001",Manihot esculenta,A16RD#F27.A00ZZ$F10.A0F2R,"Dried starchy roots and tuber products, SOURCE-COMMODITIES = Cassava roots, QUALITATIVE-INFO = White",No,Flesh-related color missing. It was added as qualitative info
02_037,"Cassava, tuber, yellow flesh, raw","Manioc, tubercule, chair jaune, cru","AU14(13A11689), NG1117, tu8BIO, 02_001",Manihot esculenta,A00ZZ#F28.A07HS$F10.A0F5H,"Cassava roots, PROCESS = Raw, no heat treatment, QUALITATIVE-INFO = Yellow",No,Flesh-related color missing. It was added as qualitative info
02_053,"Cassava, tuber, yellow flesh, boiled* (as part of a recipe)","Manioc, tubercule, chair jaune, bouilli* (ingrédient de recette)",calc. from / de 02_037,Manihot esculenta,A00ZZ#F28.A07GL$F10.A0F5H,"Cassava roots, PROCESS = Boiling, QUALITATIVE-INFO = Yellow",No,Species is missing
02_052,"Cassava, tuber, yellow flesh, boiled* (without salt), drained","Manioc, tubercule, chair jaune, bouilli* (sans sel), égoutté",calc. from / de 02_037,Manihot esculenta,A00ZZ#F28.A07GL$F10.A0CQE$F10.A0F5H,"Cassava roots, PROCESS = Boiling, QUALITATIVE-INFO = Without added salt, QUALITATIVE-INFO = Yellow",No,Species is missing
02_005,"Cocoyam, tuber, white, raw","Chou caraïbe, tubercule, blanc, cru","1P(31), 2P(52), 3GH, 4E(Cocoyam, raw / Macabo, yautia, cru), 6N, 12B(Taro, root, white, raw / Taro, racine, variété blanch), 18R, NG1016, NG1212, US28(11991)",Xanthosoma sagittifolium,A010A#F28.A07HS$F10.A0F2R,"Tannias, PROCESS = Raw, no heat treatment, QUALITATIVE-INFO = White",No,Flesh-related color missing. It was added as qualitative info
02_054,"Cocoyam, tuber, white, boiled* (as part of a recipe)","Chou caraïbe, tubercule, blanc, bouilli* (ingrédient de recette)",calc. from / de 02_005,Xanthosoma sagittifolium,A010A#F28.A07GL$F10.A0F2R,"Tannias, PROCESS = Boiling, QUALITATIVE-INFO = White",No,Flesh-related color missing. It was added as qualitative info
02_006,"Cocoyam, tuber, white, boiled* (without salt), drained","Chou caraïbe, tubercule, blanc, bouilli* (sans sel), égoutté",calc. from / de 02_005,Xanthosoma sagittifolium,A010A#F28.A07GL$F10.A0CQE$F10.A0F2R,"Tannias, PROCESS = Boiling, QUALITATIVE-INFO = Without added salt, QUALITATIVE-INFO = White",No,Flesh-related color missing. It was added as qualitative info
02_043,"Cocoyam, tuber, yellow, raw","Chou caraïbe, tubercule, jaune, cru","NG1212, 02_005",Xanthosoma sagittifolium,A010A#F28.A07HS$F10.A0F5H,"Tannias, PROCESS = Raw, no heat treatment, QUALITATIVE-INFO = Yellow",No,Flesh-related color missing. It was added as qualitative info
